MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time,Dataset_Index
0.5285833386092452,-0.5975055678136845,121.94317030906676,1,3,4,44.57574415206909,9
0.2245376460446731,0.3397259319280407,154.74435234069824,1,4,5,59.87280559539795,0
0.4948087422140219,0.0006380109112023,152.64647340774536,1,4,5,59.90046548843384,1
0.228673491466027,0.3696186313867827,158.56639504432678,1,4,5,58.585245847702026,2
0.1434282163681902,-0.0116691177766143,149.71831011772156,1,4,5,59.59976530075073,3
0.1571492633588967,-0.2694009413944456,152.97126126289368,1,4,5,60.76634407043457,4
0.2794934904716931,-0.3204724849467701,149.17823696136475,1,4,5,59.34143924713135,5
0.2228423982737796,0.3447109674523511,144.4743254184723,1,4,5,59.33307981491089,6
0.3533938201708546,-0.0002571907839914,152.75869631767273,1,4,5,55.52779483795166,7
0.332231440042272,-0.0001620548822054,158.20738005638125,1,4,5,62.29631018638611,8
0.2244127039080518,0.3217710098004853,155.29143357276917,1,4,5,61.48888611793518,9
0.3401550002979746,-0.0002577731534501,180.47123217582703,1,5,6,84.01568531990051,0
0.4951246893486101,-1.0545565132247249e-07,180.6624746322632,1,5,6,69.03042840957642,1
0.3941334833631577,-0.0865028695102327,171.1047387123108,1,5,6,65.079341173172,2
0.1433856116838181,-0.0113686061719717,178.8471462726593,1,5,6,70.08323216438293,3
0.1220070799058786,0.01446625469949,183.5894958972931,1,5,6,68.71107387542725,4
0.261287697558741,-0.2344588587702889,178.7998387813568,1,5,6,67.88230228424072,5
0.3793776708286471,-0.1155957251099819,188.20749521255493,1,5,6,69.20499992370605,6
0.3518766371801001,0.0040370925611546,180.3008692264557,1,5,6,70.57296633720398,7
0.4246674348207584,-0.278434859138686,180.40788865089417,1,5,6,70.63312220573425,8
0.3971019854059649,-0.2001373980969478,177.8424472808838,1,5,6,68.794260263443,9
0.33507948052107,0.014667270150913,104.19828248023988,2,1,3,39.58880043029785,0
0.6474750577129881,-0.307701150683306,107.7985007762909,2,1,3,40.03165030479431,1
0.4063083741501688,-0.1200652394545107,98.26322174072266,2,1,3,38.62393069267273,2
0.29403135463649,-1.0739464568126116,99.75489616394044,2,1,3,36.69504952430725,3
0.1470465676683165,-0.1877946319142929,96.76880311965942,2,1,3,36.26952910423279,4
0.1920997872568381,0.0924207822919809,96.87820720672607,2,1,3,35.964022397994995,5
0.3069265105739069,0.0974537263321748,96.55914163589478,2,1,3,36.03844666481018,6
0.316658357269543,0.1037200403573184,96.54083847999571,2,1,3,36.06625437736511,7
0.2664121190489021,0.1979829109503608,96.33039593696594,2,1,3,35.85596203804016,8
0.3764055486634585,-0.137587804655261,96.50202131271362,2,1,3,36.00413966178894,9
