Dataset_Index,MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
6,0.3400774869095697,-2.9837743981797615e-05,141.31989002227783,1,3,4,24.36583423614502
7,0.3533640768057881,-0.000173004210577421,141.26714253425598,1,3,4,24.36583423614502
8,0.3321925607974417,-4.50113375103367e-05,141.2109146118164,1,3,4,24.36583423614502
9,0.3971561143277051,-0.2003009886749012,141.44169998168945,1,3,4,24.36583423614502
0,0.3400899062166587,-6.635788462960868e-05,167.16559267044067,1,4,5,27.987525939941406
1,0.49512464105541426,-7.918198541290167e-09,167.02285957336426,1,4,5,27.987525939941406
2,0.3905800451408563,-0.07670715057711064,167.20035576820374,1,4,5,27.987525939941406
3,0.143386860381445,-0.011377413844956275,167.14070200920105,1,4,5,27.987525939941406
4,0.13548497570798249,-0.09440383004366093,167.4264132976532,1,4,5,27.987525939941406
5,0.26050610604214575,-0.23076621429978594,167.35710549354553,1,4,5,27.987525939941406
6,0.34009156637002386,-7.123972175304694e-05,167.46870684623718,1,4,5,27.987525939941406
7,0.3533617682694192,-0.00016647005527703485,167.4374237060547,1,4,5,27.987525939941406
8,0.3321895732818323,-3.601760786664521e-05,167.1237325668335,1,4,5,27.987525939941406
9,0.3929165751748556,-0.18748808500022096,167.19807291030884,1,4,5,27.987525939941406
0,0.3416947027582085,-0.0047854130612663415,196.30724930763245,1,5,6,31.310091018676758
1,0.48024728715108495,0.03004768671969782,196.83916473388672,1,5,6,31.310091018676758
2,0.3862406525163488,-0.06474480092280666,197.04975843429565,1,5,6,31.310091018676758
3,0.14208646896830524,-0.002205119389880439,196.1301805973053,1,5,6,31.310091018676758
4,0.1372481214709503,-0.1086459514732443,196.6592013835907,1,5,6,31.310091018676758
5,0.26213119944549446,-0.23844400000051524,196.60514497756958,1,5,6,31.310091018676758
6,0.3408467501790378,-0.0022919287442992875,197.84796738624573,1,5,6,31.310091018676758
7,0.35213253933050254,0.0033127789159604903,196.54276871681213,1,5,6,31.310091018676758
8,0.3330038884321913,-0.002487462642692728,195.5601143836975,1,5,6,31.310091018676758
9,0.39440159230277233,-0.191976162767461,196.79916667938232,1,5,6,31.310091018676758
0,0.36896764147559824,-0.08498405463616487,145.32954263687134,2,1,3,24.824071168899536
1,0.5713935819585064,-0.1540398903696738,145.251366853714,2,1,3,24.824071168899536
2,0.37946428010504507,-0.046064459412801906,145.45611906051636,2,1,3,24.824071168899536
3,0.29227651704934265,-1.0615687319925993,145.1547360420227,2,1,3,24.824071168899536
4,0.1600173238745221,-0.29256820696537233,145.22588896751404,2,1,3,24.824071168899536
5,0.17060669764125017,0.19396530630211506,145.50412774085999,2,1,3,24.824071168899536
6,0.3701576862895267,-0.0884834933464298,145.2887077331543,2,1,3,24.824071168899536
7,0.3160199716153496,0.10552694756580216,145.3319582939148,2,1,3,24.824071168899536
8,0.2983463166673843,0.10184699826536114,145.56686997413635,2,1,3,24.824071168899536
9,0.3738190170423528,-0.1297706860209238,145.51531291007996,2,1,3,24.824071168899536
0,0.08037076533562253,0.7636622049041595,221.88168501853943,2,2,5,34.59154391288757
1,0.04936402326882214,0.9002998041978455,221.84293746948242,2,2,5,34.59154391288757
2,0.10613324530083262,0.7074238032612501,221.7605037689209,2,2,5,34.59154391288757
3,0.16123482620234467,-0.1372678159802314,222.13000965118408,2,2,5,34.59154391288757
4,0.04636868172500564,0.6254487805105623,221.96967363357544,2,2,5,34.59154391288757
5,0.09640928434932798,0.5445124426266725,222.40406370162964,2,2,5,34.59154391288757
6,0.08137143699166545,0.7607196357769839,221.90683269500732,2,2,5,34.59154391288757
7,0.17075143994451264,0.5166996537781969,222.28902316093445,2,2,5,34.59154391288757
8,0.08787046748801743,0.7354714312555928,222.27511143684387,2,2,5,34.59154391288757
9,0.11633635594046984,0.648403642757565,232.66342186927795,2,2,5,34.59154391288757
0,0.3054519309805712,0.10178986632445919,287.7344207763672,2,3,7,43.24058294296265
1,0.4899547072718897,0.010441673621707781,284.0127377510071,2,3,7,43.24058294296265
2,0.41683349884168136,-0.14907971973084022,294.85009264945984,2,3,7,43.24058294296265
3,0.14156792515526428,0.0014524228647132542,307.37834572792053,2,3,7,43.24058294296265
4,0.07832785451174903,0.3672929154777844,309.823566198349,2,3,7,43.24058294296265
5,0.1753769414101272,0.17142819592913183,301.44435834884644,2,3,7,43.24058294296265
6,0.30656924304514965,0.09850430510485719,300.2386989593506,2,3,7,43.24058294296265
7,0.2672394081837336,0.24359701715382898,306.86705780029297,2,3,7,43.24058294296265
8,0.284731248747488,0.14283431212822628,304.12340664863586,2,3,7,43.24058294296265
9,0.4091284278513592,-0.2364841902944803,303.1279807090759,2,3,7,43.24058294296265
0,0.11735330848483418,0.654911558217864,383.04732728004456,2,4,9,55.604954957962036
1,0.15297325544599374,0.6910409137966017,392.1916344165802,2,4,9,55.604954957962036
2,0.1844588896420019,0.49150447408691145,386.27170181274414,2,4,9,55.604954957962036
3,0.16433654254787095,-0.159145733159489,382.436692237854,2,4,9,55.604954957962036
4,0.06352587429184765,0.4868585260574094,395.48614978790283,2,4,9,55.604954957962036
5,0.1490592595146058,0.2957666009201324,366.4727210998535,2,4,9,55.604954957962036
6,0.1111874155709186,0.6730429462914572,360.74042558670044,2,4,9,55.604954957962036
7,0.16497035377521513,0.5330626252885251,358.4845767021179,2,4,9,55.604954957962036
8,0.12152284417008812,0.6341630475284918,358.2752573490143,2,4,9,55.604954957962036
9,0.20783409817911344,0.3718755307417809,358.8656237125397,2,4,9,55.604954957962036
0,0.2697179939939528,0.20686886914649538,433.79703164100647,2,5,11,60.69090175628662
1,0.3465523158511473,0.30007054818257095,434.5088276863098,2,5,11,60.69090175628662
2,0.3332652379194979,0.0812918653401773,448.27474904060364,2,5,11,60.69090175628662
