MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.11954720091976107,0.6401105984668072,278.64192724227905,5,2,5,angle-X,8
0.14771801776488291,0.5535607375240227,278.6325478553772,5,2,5,angle-X,9
0.0060061507801144245,0.9823383486960992,105.91729497909546,1,3,4,angle-X,0
0.15718157719443437,0.6825413938115078,105.61985945701599,1,3,4,angle-X,1
0.006167961838587101,0.982996856345545,105.88724184036255,1,3,4,angle-X,2
0.1351374054872167,0.04681001235546356,106.15488862991333,1,3,4,angle-X,3
0.030692418525635867,0.7520765663334,105.96940517425537,1,3,4,angle-X,4
0.08713254816954111,0.5883405649018831,105.9596757888794,1,3,4,angle-X,5
0.005995893407310161,0.9823685114656325,106.67958569526672,1,3,4,angle-X,6
0.3427835546500092,0.029774444682135304,106.1497483253479,1,3,4,angle-X,7
0.010349130418194035,0.9688445875441895,105.92258977890015,1,3,4,angle-X,8
0.013321343902307794,0.9597397051698796,105.89950323104858,1,3,4,angle-X,9
0.0006055649750205242,0.9982192792318704,193.66869974136353,2,3,7,angle-X,0
0.044564515742733374,0.909993338241842,194.15753626823425,2,3,7,angle-X,1
0.0016226991002180645,0.9955267255811552,194.04052829742432,2,3,7,angle-X,2
0.1328964984503645,0.06261622191726968,193.76914238929749,2,3,7,angle-X,3
0.021442840867725747,0.8267916641677254,193.92800617218018,2,3,7,angle-X,4
0.04906208518533335,0.7682052149693674,193.80176949501038,2,3,7,angle-X,5
0.00024293341564279424,0.9992856314411296,193.72522139549255,2,3,7,angle-X,6
0.34657644878504756,0.01903891560406501,194.05410408973694,2,3,7,angle-X,7
0.008301773325835697,0.9750080285367404,194.3927948474884,2,3,7,angle-X,8
0.0076565366573764,0.9768601107017291,194.73352479934692,2,3,7,angle-X,9
0.001312241651219445,0.996141229995919,253.29299688339233,3,3,7,angle-X,0
0.006944489719097568,0.9859742594121705,254.1965479850769,3,3,7,angle-X,1
0.0013185651990658372,0.9963651277222206,253.9310657978058,3,3,7,angle-X,2
0.13514195758238795,0.04677790420950345,254.05727744102478,3,3,7,angle-X,3
0.012481323776565897,0.8991799018768696,253.45881414413452,3,3,7,angle-X,4
0.024270629999697327,0.8853329318946345,253.74130654335022,3,3,7,angle-X,5
0.001111853343744853,0.9967304906624532,253.18455171585083,3,3,7,angle-X,6
0.3199122042075026,0.09451024773606942,253.5300087928772,3,3,7,angle-X,7
0.007752081916753395,0.9766628402823985,253.67886781692505,3,3,7,angle-X,8
0.0036572243792651928,0.9889469911707922,253.49314403533936,3,3,7,angle-X,9
0.0003452144101958571,0.9989848645561568,310.5139720439911,4,3,7,angle-X,0
0.06769753464478667,0.8632717308584679,310.47030234336853,4,3,7,angle-X,1
0.003820996934671373,0.9894667052936352,310.3133909702301,4,3,7,angle-X,2
0.11996353934732883,0.15383868606910645,311.6220359802246,4,3,7,angle-X,3
0.012154124524433403,0.9018229116486175,310.60673427581787,4,3,7,angle-X,4
0.03802036803441426,0.8203720245066728,310.791841506958,4,3,7,angle-X,5
0.0014410577501755412,0.9957624341405729,310.7219400405884,4,3,7,angle-X,6
0.31448657187070195,0.10986713133072645,311.0308270454407,4,3,7,angle-X,7
0.007541103184917267,0.9772979786123013,310.45653676986694,4,3,7,angle-X,8
0.008922638541326057,0.9730336472828278,310.1184585094452,4,3,7,angle-X,9
0.0011514840386619694,0.9966139528764099,380.04240226745605,5,3,7,angle-X,0
0.04130007102626458,0.9165865159422263,384.5905086994171,5,3,7,angle-X,1
0.019379591627875524,0.9465765208935012,379.6633059978485,5,3,7,angle-X,2
0.1258857223310583,0.112066642979055,384.8241515159607,5,3,7,angle-X,3
0.01794065590483448,0.8550811820045263,379.84159231185913,5,3,7,angle-X,4
0.04018949526387303,0.810123940309738,384.444655418396,5,3,7,angle-X,5
0.0017204176310027036,0.9949409501345762,379.7357301712036,5,3,7,angle-X,6
