MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.15750957992746847,0.5239682893142852,134.79997849464417,3,1,3,angle-X,9
0.015708048500163167,0.9538090058955598,156.8008828163147,4,1,3,angle-X,0
0.2985064803972836,0.3971084086531892,156.89689087867737,4,1,3,angle-X,1
0.0427255982139865,0.8822188750244686,157.42961740493774,4,1,3,angle-X,2
0.1363099033734698,0.03853981328155465,156.74783062934875,4,1,3,angle-X,3
0.038621583028640306,0.6880273390608661,158.3436517715454,4,1,3,angle-X,4
0.1612322565177324,0.23825503750289379,156.33389234542847,4,1,3,angle-X,5
0.0156337888364889,0.9540273734214139,156.46863412857056,4,1,3,angle-X,6
0.335067588967226,0.0516139611578762,156.79612731933594,4,1,3,angle-X,7
0.023731054938719673,0.928559137362158,156.81179428100586,4,1,3,angle-X,8
0.058664859158853694,0.822700731756218,157.07323288917542,4,1,3,angle-X,9
0.16503969023090348,0.5146852673408087,184.27640056610107,5,1,3,angle-X,0
0.2867090871419205,0.42093552685847535,184.7470703125,5,1,3,angle-X,1
0.19047325184893618,0.47492475662584266,185.149649143219,5,1,3,angle-X,2
0.14169697318508123,0.00054218421166774,185.89585709571838,5,1,3,angle-X,3
0.07485354909615217,0.39535723134529366,187.02480125427246,5,1,3,angle-X,4
0.1356425858720707,0.35915393904589266,187.81951904296875,5,1,3,angle-X,5
0.22499025205096831,0.3383950013946775,185.05001187324524,5,1,3,angle-X,6
0.3732165408367323,-0.05636405444493642,185.25908827781677,5,1,3,angle-X,7
0.2022189541663273,0.3912324351079157,182.43773531913757,5,1,3,angle-X,8
0.17200362123756016,0.48016382178431294,185.43426609039307,5,1,3,angle-X,9
0.006139161693875739,0.9819472175932565,90.69002556800842,1,2,3,angle-X,0
0.15948759011224023,0.6778839545631807,90.22053647041321,1,2,3,angle-X,1
0.0063246353100975625,0.9825649565360701,89.608407497406,1,2,3,angle-X,2
0.13509615333514463,0.04710098389056239,89.71072697639465,1,2,3,angle-X,3
0.030569532212980796,0.7530692022365832,89.59024786949158,1,2,3,angle-X,4
0.0836748715993867,0.6046764257658641,89.52559351921082,1,2,3,angle-X,5
0.006034281126209594,0.9822556287674827,89.63591384887695,1,2,3,angle-X,6
0.34161706637169714,0.033076110477487264,89.94114875793457,1,2,3,angle-X,7
0.010343220727668785,0.9688623782993891,89.4956967830658,1,2,3,angle-X,8
0.01329016165830091,0.9598339453866617,89.67247271537781,1,2,3,angle-X,9
0.0002639068964837487,0.9992239569479636,148.11924767494202,2,2,5,angle-X,0
0.04499842726878364,0.909116969963016,147.35333824157715,2,2,5,angle-X,1
0.0038645508051032684,0.9893466408809425,147.7820394039154,2,2,5,angle-X,2
0.14529436158068162,-0.024831949530150332,147.764639377594,2,2,5,angle-X,3
0.010821427862078438,0.9125880044121965,147.69129014015198,2,2,5,angle-X,4
0.04668594109046042,0.7794313544127339,147.5607509613037,2,2,5,angle-X,5
0.0002011002770179591,0.999408645720056,147.74581217765808,2,2,5,angle-X,6
0.3703346520742881,-0.04820706416061071,148.14202308654785,2,2,5,angle-X,7
0.00756105390805808,0.9772379182030566,157.27539801597595,2,2,5,angle-X,8
0.01614104317231351,0.9512178980027335,255.10291171073914,2,2,5,angle-X,9
0.14110090335243716,0.5850795218250117,347.787939786911,3,2,5,angle-X,0
0.03637257199567998,0.9265385535929842,310.3124508857727,3,2,5,angle-X,1
0.15660930105798973,0.5682770884129267,194.4055938720703,3,2,5,angle-X,2
0.14351913671841188,-0.012310423321825859,206.75124311447144,3,2,5,angle-X,3
0.07926913922445472,0.3596895218958497,212.39509344100952,3,2,5,angle-X,4
0.19558000677017678,0.07597841685018547,212.25511193275452,3,2,5,angle-X,5
0.14918713336835046,0.561301201877227,203.74468612670898,3,2,5,angle-X,6
0.3524531403000571,0.002405339660191297,195.85608220100403,3,2,5,angle-X,7
0.14138980200420695,0.5743548085216651,196.15661668777466,3,2,5,angle-X,8
0.15917150848641895,0.5189455427910645,195.4821138381958,3,2,5,angle-X,9
0.010088085930785851,0.9703350344411545,236.86782097816467,4,2,5,angle-X,0
0.2943319639698911,0.40553965225186905,236.312842130661,4,2,5,angle-X,1
0.013087266619553554,0.963922494950553,235.76474618911743,4,2,5,angle-X,2
0.12859424195555033,0.09296213391957941,238.59851336479187,4,2,5,angle-X,3
0.01904310301839456,0.8461759706539984,238.06185221672058,4,2,5,angle-X,4
0.05172186401120544,0.7556390376688488,239.4733805656433,4,2,5,angle-X,5
0.015413710097494735,0.9546745356539016,237.84406876564026,4,2,5,angle-X,6
0.3523176544019295,0.0027888232870029173,235.0140779018402,4,2,5,angle-X,7
0.023650619850124604,0.92880128218591,234.04744029045105,4,2,5,angle-X,8
0.015575070122782093,0.952928404240478,233.51087474822998,4,2,5,angle-X,9
0.12720118307867584,0.6259529566894384,275.2232608795166,5,2,5,angle-X,0
0.11704105869312785,0.7636129371982054,273.54681515693665,5,2,5,angle-X,1
0.16246027366257654,0.5521477850356447,273.72858214378357,5,2,5,angle-X,2
0.14205409778963712,-0.0019767896888367442,273.69170117378235,5,2,5,angle-X,3
0.06763330044315313,0.4536800655814751,273.38740158081055,5,2,5,angle-X,4
0.17883967703205184,0.1550684334757031,273.5267405509949,5,2,5,angle-X,5
0.13384261379791462,0.6064232049704887,274.1426498889923,5,2,5,angle-X,6
0.3444224494794285,0.025135664249379408,273.81939339637756,5,2,5,angle-X,7
